toss_winner,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
Chennai Super Kings,78,1,2,4,0,2,4,0,5,0,7,1,3,8,0,0,6,3,2
Deccan Chargers,2,19,0,5,0,0,3,0,3,0,4,1,0,3,0,0,3,0,0
Delhi Capitals,3,0,29,0,0,1,2,0,3,1,6,0,1,3,0,0,3,1,3
Delhi Daredevils,5,0,0,35,1,0,7,0,5,0,9,1,0,7,0,0,5,0,4
Gujarat Lions,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Gujarat Titans,2,0,1,0,0,19,0,0,1,1,2,0,2,0,0,0,1,0,0
Kings XI Punjab,4,2,0,3,0,0,35,0,8,0,7,2,0,6,0,1,7,0,8
Kochi Tuskers Kerala,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0
Kolkata Knight Riders,11,1,2,5,0,1,6,2,71,3,10,1,1,4,0,0,3,0,6
Lucknow Super Giants,1,0,2,0,0,1,0,0,1,13,1,0,1,1,0,0,2,0,1
Mumbai Indians,6,0,3,6,0,4,9,0,6,5,82,1,2,6,2,1,7,1,7
Pune Warriors,3,0,0,2,0,0,1,0,0,0,3,3,0,2,0,0,4,0,2
Punjab Kings,1,0,2,0,0,1,0,0,1,2,1,0,17,3,0,0,1,2,4
Rajasthan Royals,12,1,4,3,0,4,5,0,7,1,8,1,3,61,0,0,5,1,7
Rising Pune Supergiant,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Rising Pune Supergiants,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,1,0,0
Royal Challengers Bangalore,6,4,2,3,1,1,8,0,9,0,6,0,2,4,2,0,56,0,6
Royal Challengers Bengaluru,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,2
Sunrisers Hyderabad,7,0,4,0,0,3,2,0,13,3,5,0,2,6,1,0,6,0,41
