file,team,total_runs
1426268.json,Sunrisers Hyderabad,287
1473439.json,Sunrisers Hyderabad,286
1473505.json,Sunrisers Hyderabad,278
1422126.json,Sunrisers Hyderabad,277
1422134.json,Kolkata Knight Riders,272
1426273.json,Sunrisers Hyderabad,266
598027.json,Royal Challengers Bangalore,263
1426268.json,Royal Challengers Bengaluru,262
1426280.json,Punjab Kings,262
1426280.json,Kolkata Knight Riders,261
1359512.json,Lucknow Super Giants,257
1426281.json,Delhi Capitals,257
980987.json,Royal Challengers Bangalore,248
1473464.json,Sunrisers Hyderabad,247
1426281.json,Mumbai Indians,247
419137.json,Chennai Super Kings,246
1422126.json,Mumbai Indians,246
1473464.json,Punjab Kings,245
1136604.json,Kolkata Knight Riders,245
1473442.json,Punjab Kings,243
1473439.json,Rajasthan Royals,242
1426296.json,Royal Challengers Bengaluru,241
335983.json,Chennai Super Kings,240
1473456.json,Lucknow Super Giants,238
1473491.json,Punjab Kings,236
1254088.json,Mumbai Indians,235
829795.json,Royal Challengers Bangalore,235
1473502.json,Lucknow Super Giants,235
1426292.json,Kolkata Knight Riders,235
1359507.json,Chennai Super Kings,235
1473456.json,Kolkata Knight Riders,234
1422138.json,Mumbai Indians,234
1370352.json,Gujarat Titans,233
1473442.json,Gujarat Titans,232
1178422.json,Kolkata Knight Riders,232
501260.json,Kings Xi Punjab,232
1426297.json,Gujarat Titans,231
1473503.json,Sunrisers Hyderabad,231
1175366.json,Sunrisers Hyderabad,231
501223.json,Delhi Daredevils,231
733987.json,Kings Xi Punjab,231
1473507.json,Royal Challengers Bengaluru,230
1473504.json,Chennai Super Kings,230
1082641.json,Kings Xi Punjab,230
1216515.json,Delhi Capitals,228
1473509.json,Mumbai Indians,228
1359493.json,Sunrisers Hyderabad,228
980907.json,Royal Challengers Bangalore,227
1473507.json,Lucknow Super Giants,227
1359525.json,Gujarat Titans,227
