batter1,batter2,partnership_runs
Ab De Villiers,V Kohli,3134
Ch Gayle,V Kohli,2802
Da Warner,S Dhawan,2357
B Sai Sudharsan,Shubman Gill,2058
F Du Plessis,V Kohli,2032
G Gambhir,Rv Uthappa,1906
Ishan Kishan,Rg Sharma,1868
Kl Rahul,Ma Agarwal,1731
Ms Dhoni,Ra Jadeja,1708
Jc Buttler,Sv Samson,1637
Ch Gayle,Kl Rahul,1633
Ms Dhoni,Sk Raina,1482
Pp Shaw,S Dhawan,1461
Da Warner,Jm Bairstow,1401
D Padikkal,V Kohli,1399
Rr Pant,Ss Iyer,1368
M Vijay,Mek Hussey,1367
Bb Mccullum,Dr Smith,1363
Ka Pollard,Rg Sharma,1344
Q De Kock,Rg Sharma,1274
Dp Conway,Rd Gaikwad,1215
Abhishek Sharma,Tm Head,1202
Jc Buttler,Ybk Jaiswal,1201
Am Rahane,Sr Watson,1169
Mek Hussey,Sk Raina,1168
At Rayudu,Rg Sharma,1165
Sa Yadav,Tilak Varma,1156
Am Rahane,R Dravid,1145
Sv Samson,Ybk Jaiswal,1121
Shubman Gill,Wp Saha,1119
F Du Plessis,Sk Raina,1056
Mk Pandey,Rv Uthappa,1040
At Rayudu,Ka Pollard,1023
Rg Sharma,Sa Yadav,1013
Bb Mccullum,Sk Raina,976
Ishan Kishan,Sa Yadav,966
G Gambhir,Jh Kallis,961
Am Rahane,Sv Samson,957
G Gambhir,V Sehwag,933
Ac Gilchrist,Hh Gibbs,921
Hh Pandya,Ka Pollard,919
Ch Gayle,Tm Dilshan,909
Ks Williamson,S Dhawan,898
F Du Plessis,Rd Gaikwad,894
Kl Rahul,Q De Kock,892
Da Warner,Mk Pandey,884
S Dhawan,Ss Iyer,868
Lmp Simmons,Pa Patel,854
F Du Plessis,Sr Watson,846
S Badrinath,Sk Raina,820
