team,matches_played,wins
Sunrisers Hyderabad,196,93
Punjab Kings,74,34
Chennai Super Kings,252,142
Kolkata Knight Riders,264,135
Rajasthan Royals,235,114
Mumbai Indians,277,151
Delhi Capitals,106,51
Delhi Daredevils,161,67
Kings Xi Punjab,190,0
Kochi Tuskers Kerala,14,6
Royal Challengers Bangalore,240,114
Gujarat Titans,60,37
Rising Pune Supergiants,14,5
Royal Challengers Bengaluru,30,18
Lucknow Super Giants,58,30
Pune Warriors,46,12
Deccan Chargers,75,29
Gujarat Lions,30,13
Rising Pune Supergiant,16,10
