venue,matches_hosted
Eden Gardens,77
Wankhede Stadium,73
M Chinnaswamy Stadium,65
Feroz Shah Kotla,60
"Wankhede Stadium, Mumbai",52
"Rajiv Gandhi International Stadium, Uppal",49
"Ma Chidambaram Stadium, Chepauk",48
Sawai Mansingh Stadium,47
Dubai International Cricket Stadium,46
"Punjab Cricket Association Stadium, Mohali",35
"Ma Chidambaram Stadium, Chepauk, Chennai",34
"Narendra Modi Stadium, Ahmedabad",33
Sheikh Zayed Stadium,29
Sharjah Cricket Stadium,28
"Eden Gardens, Kolkata",23
"Arun Jaitley Stadium, Delhi",23
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",22
Maharashtra Cricket Association Stadium,22
"Dr Dy Patil Sports Academy, Mumbai",20
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",19
"M Chinnaswamy Stadium, Bengaluru",19
"Sawai Mansingh Stadium, Jaipur",17
"Brabourne Stadium, Mumbai",17
Dr Dy Patil Sports Academy,17
Subrata Roy Sahara Stadium,16
Kingsmead,15
M.Chinnaswamy Stadium,15
Rajiv Gandhi International Stadium,15
Arun Jaitley Stadium,14
Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,13
"Maharashtra Cricket Association Stadium, Pune",13
"Sardar Patel Stadium, Motera",12
Supersport Park,12
"Punjab Cricket Association Is Bindra Stadium, Mohali",11
Punjab Cricket Association Is Bindra Stadium,10
Brabourne Stadium,10
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",10
Saurashtra Cricket Association Stadium,10
Ma Chidambaram Stadium,9
Holkar Cricket Stadium,9
Himachal Pradesh Cricket Association Stadium,9
"Zayed Cricket Stadium, Abu Dhabi",8
New Wanderers Stadium,8
Jsca International Stadium Complex,7
Newlands,7
Barabati Stadium,7
St George'S Park,7
"Himachal Pradesh Cricket Association Stadium, Dharamsala",6
Shaheed Veer Narayan Singh International Stadium,6
Nehru Stadium,5
"Barsapara Cricket Stadium, Guwahati",5
"Punjab Cricket Association Is Bindra Stadium, Mohali, Chandigarh",5
"Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium, Visakhapatnam",4
Green Park,4
"Vidarbha Cricket Association Stadium, Jamtha",3
De Beers Diamond Oval,3
Buffalo Park,3
Outsurance Oval,2
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1
